name,description,price,original_price,discount,stock,category_id,main_image,additional_image,secondary_image,tertiary_image,quaternary_image
Apple AirPods Max USB-C,Apple AirPods Max Wireless Over-Ear Headphones - Pro-Level Active Noise Cancellation - Transparency Mode - Personalized Spatial Audio - USB-C Charging - Bluetooth Headphones for iPhone - Starlight,1000000,,,1,4,products\apple_airpods_max_usb-c_1.jpg,products\additional\apple_airpods_max_usb-c_2.jpg,products\additional\apple_airpods_max_usb-c_3.jpg,products\additional\apple_airpods_max_usb-c_4.jpg,products\additional\apple_airpods_max_usb-c_5.jpg
Apple AirPods Pro 2,Apple AirPods Pro 2 Wireless Earbuds - Active Noise Cancellation - Hearing Aid Feature - Bluetooth Headphones - Transparency - Personalized Spatial Audio - High-Fidelity Sound - H2 Chip - USB-C Charging,280000,,,2,4,products\Apple_AirPods_Pro_2_1.jpg,products\additional\Apple_AirPods_Pro_2_2.jpg,products\additional\Apple_AirPods_Pro_2_3.jpg,products\additional\Apple_AirPods_Pro_2_4.jpg,products\additional\Apple_AirPods_Pro_2_5.jpg
Apple iPad Air 11-inch (M2),Apple iPad Air 11-inch (M2): Built for Apple Intelligence - Liquid Retina Display - 128GB - 12MP Front/Back Camera - Wi-Fi 6E + 5G Cellular - Touch ID - All-Day Battery Life,950000,,,1,6,products\apple_ipad_air_1.jpg,products\additional\apple_ipad_air_2.jpg,products\additional\apple_ipad_air_3.jpg,products\additional\apple_ipad_air_4.jpg,products\additional\apple_ipad_air_5.jpg
Apple Pencil (2nd Generation),Apple Pencil (2nd Generation): Device Compatibility Check Required - Pixel-Perfect Precision Perfect for Note-Taking Drawing and Signing documents Attaches - Charges - and Pairs magnetically,150000,,,3,8,products\apple_pencil.jpeg,products\additional\apple_pencil_2.jpeg,products\additional\apple_pencil_2.jpg,products\additional\apple_pencil_3.jpg,products\additional\apple_pencil_4.jpg,products\additional\apple_pencil_5.jpg
Apple USB-C Woven Charge Cable,USB-C Woven Charge Cable for Apple Devices (2m) - 240W Fast Charging for iPhone 16/15 Series - iPad Pro/Air - MacBook (2m),40000,,,5,8,products\apple_USB-C_Woven_1.jpg,products\additional\apple_USB-C_Woven_2.jpg,products\additional\apple_USB-C_Woven_3.jpg
Apple Watch Series 10,Apple Watch Series 10 [GPS 46mm case] Smartwatch with Jet Black Aluminium Case with Black Sport Band - M/L Fitness Tracker - ECG App - Always-On Retina Display - Water Resistant,600000,,,2,7,products\Apple_Watch_Series_10_1.jpg,products\additional\Apple_Watch_Series_10_2.jpg,products\additional\Apple_Watch_Series_10_3.jpg,products\additional\Apple_Watch_Series_10_4.jpg,products\additional\Apple_Watch_Series_10_5.jpg
Beats Studio Pro,Beats Studio Pro - Wireless Bluetooth Noise Cancelling Headphones - Personalized Spatial Audio - USB-C Lossless Audio - Apple & Android Compatibility - Up to 40 Hours Battery Life - Black,300000,,,2,4,products\Beats_Studio_pro_1.jpg,products\additional\Beats_Studio_pro_2.jpg,products\additional\Beats_Studio_pro_3.jpg,products\additional\Beats_Studio_pro_4.jpg,products\additional\Beats_Studio_pro_5.jpg
Citizen Promaster,Citizen Promaster Dive Eco-Drive Watch - 3-Hand Date - ISO Certified - Luminous Hands and Markers - Rotating Bezel,550000,,,2,7,products\citizen_promaster_watch_1.jpg,products\additional\citizen_promaster_watch_2.jpg,products\additional\citizen_promaster_watch_3.jpg,products\additional\citizen_promaster_watch_4.jpg,products\additional\citizen_promaster_watch_5.jpg
DJI Osmo Mobile 6 Gimbal,DJI Osmo Mobile 6 Gimbal Stabilizer for Smartphones - 3-Axis Phone Gimbal - Built-In Extension Rod - Object Tracking - Portable and Foldable - Vlogging Stabilizer - YouTube TikTok - Slate Gray,250000,,,2,8,products\DJI_Osmo_Mobile_6_Gimbal_1.jpg,products\additional\DJI_Osmo_Mobile_6_Gimbal_2.jpg,products\additional\DJI_Osmo_Mobile_6_Gimbal_3.jpg,products\additional\DJI_Osmo_Mobile_6_Gimbal_4.jpg,products\additional\DJI_Osmo_Mobile_6_Gimbal_5.jpg
Playstation 4 Dual Shock 4,Sony Playstation 4 Dual Shock 4 Controller,75000,,,5,2,products\ps4_controller_1.jpg
PlayStation DualSense®,PlayStation DualSense® Wireless Controller - White,120000,,,3,2,products\ps5_controller_1.jpg,products\additional\ps5_controller_2.jpg,products\additional\ps5_controller_3.jpg,products\additional\ps5_controller_4.jpg,products\additional\ps5_controller_5.jpg
PlayStation DualSense®,PlayStation DualSense® Wireless Controller - Midnight Black,120000,,,2,2,products\ps5_controller_midnight_1.jpg,products\additional\ps5_controller_midnight_2.jpg
Razer Basilisk V3,Razer Basilisk V3 Customizable Ergonomic Gaming Mouse: Fastest Gaming Mouse Switch - Chroma RGB Lighting - 26K DPI Optical Sensor - 11 Programmable Buttons - HyperScroll Tilt Wheel - Classic Black,75000,,,2,8,products\Razer_Basilisk_v3_1.jpg,products\additional\Razer_Basilisk_v3_2.jpg,products\additional\Razer_Basilisk_v3_3.jpg,products\additional\Razer_Basilisk_v3_4.jpg,products\additional\Razer_Basilisk_v3_5.jpg
Razer Blade 15 Gaming Laptop,Razer Blade 15 Gaming Laptop: NVIDIA GeForce RTX 3080 Ti - 12th Gen Intel 14-Core i7 CPU - 15.6” QHD 240Hz - 32GB DDR5 RAM 1TB PCIe SSD - Windows 11 - CNC Aluminum - Chroma RGB - Thunderbolt 4,3500000,,,1,3,products\razer_blade_15_1.jpg,products\additional\razer_blade_15_2.jpg,products\additional\razer_blade_15_3.jpg,products\additional\razer_blade_15_4.jpg,products\additional\razer_blade_15_5.jpg
